Gene stable ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID
ENSMUSG00000104191		A0A9L6KE30
ENSMUSG00000100608		A0A087WSS9
ENSMUSG00000100608		A0A9L6KDW4
ENSMUSG00000101915		A0A087WQL3
ENSMUSG00000101915		A0A9L6KE01
ENSMUSG00000094789		A0A087WRT9
ENSMUSG00000100467		A0A087WRT9
ENSMUSG00000100467		A0A9L6KE33
ENSMUSG00000100338		A0A9L6KE01
ENSMUSG00000100338		A0A0A6YW38
ENSMUSG00000094181		A0A087WRF5
ENSMUSG00000094181		A0A087WP97
ENSMUSG00000094782		A0A087WRF5
ENSMUSG00000094782		A0A087WP97
ENSMUSG00000095011		A0A087WRF5
ENSMUSG00000095011		A0A087WP97
ENSMUSG00000095141		A0A087WRF5
ENSMUSG00000095141		A0A087WP97
ENSMUSG00000096178		A0A087WP97
ENSMUSG00000096178		A0A087WRF5
ENSMUSG00000096626		A0A087WRF5
ENSMUSG00000096626		A0A087WP97
ENSMUSG00000099740		A0A087WP44
ENSMUSG00000099740		A0A9L6KDK8
ENSMUSG00000099792		A0A087WP44
ENSMUSG00000099792		A0A9L6KDK8
ENSMUSG00000099925		A0A087WP44
ENSMUSG00000099925		A0A9L6KDK8
ENSMUSG00000101528		A0A087WP44
ENSMUSG00000101528		A0A9L6KDK8
ENSMUSG00000103528		A0A087WP44
ENSMUSG00000103528		A0A9L6KDK8
ENSMUSG00000102668		A0A0A6YX04
ENSMUSG00000102668		A0A9L6KEH4
ENSMUSG00000094813		Q3TTD8
ENSMUSG00000101396		A0A087WP28
ENSMUSG00000095950		Q3TTD8
ENSMUSG00000101243		A0A087WP35
ENSMUSG00000079806		J3KMI9
ENSMUSG00000100634		A0A087WQ19
ENSMUSG00000096036		A0A087WNP8
ENSMUSG00000096706		A0A087WNM4
ENSMUSG00000096268		J3QME2
ENSMUSG00000094773		J3QN84
ENSMUSG00000096223		J3QNZ6
ENSMUSG00000094556		J3QPJ2
ENSMUSG00000094484		J3QK38
ENSMUSG00000091077		Q78EE2
ENSMUSG00000094679		J3QMK7
ENSMUSG00000096820		Q3TTD8
ENSMUSG00000095900		A0A0A6YXW2
ENSMUSG00000095452		J3QP49
ENSMUSG00000095263		A0A087WRF5
ENSMUSG00000094399		A0A087WRK1
ENSMUSG00000047161	Q76EC5	
ENSMUSG00000047161		D6RCI1
ENSMUSG00000024304	P15116	
ENSMUSG00000024304		D3YYT0
ENSMUSG00000048799	Q7TSG1	
ENSMUSG00000073563	Q8C4X2	
ENSMUSG00000073563		A0A494BAP2
ENSMUSG00000073563		A0A494BAN5
ENSMUSG00000059898	P55850	
ENSMUSG00000059898		A0A286YD62
ENSMUSG00000052713	Q56A10	B9EKR3
ENSMUSG00000052713		A0A494B9K3
ENSMUSG00000001700		Q9D2W5
ENSMUSG00000001700	Q6PEM6	
ENSMUSG00000024331	P55292	
ENSMUSG00000024331	P55292	Q544V1
ENSMUSG00000024331		F6RM34
ENSMUSG00000024331		D6RDD6
ENSMUSG00000044322	P55849	
ENSMUSG00000044322		Q32ME9
ENSMUSG00000044322		A0A286YCT9
ENSMUSG00000034774	Q7TSF0	
ENSMUSG00000069441	Q61495	
ENSMUSG00000061928	Q7TSF1	B2RQH0
ENSMUSG00000053644	Q9DBF1	
ENSMUSG00000053644		G3UYR8
ENSMUSG00000053644		G3UY72
ENSMUSG00000053644		E9Q1H3
ENSMUSG00000053644		E9Q1G1
ENSMUSG00000001804	Q7TMD7	
ENSMUSG00000008301		G5E8V8
ENSMUSG00000008301		F6RPD4
ENSMUSG00000008301	Q9JJT9	
ENSMUSG00000032900	Q9D9I1	C9W8M4
ENSMUSG00000032900		F6YCE8
ENSMUSG00000032900		F7C987
ENSMUSG00000032900		F6VMD1
ENSMUSG00000024590	P14733	
ENSMUSG00000033863		Q8CEC4
ENSMUSG00000032656	Q8BRX9	
ENSMUSG00000032656		F8WJC4
ENSMUSG00000025075		E9QM92
ENSMUSG00000056632		Q3UFC6
ENSMUSG00000025075		Q3V1J8
ENSMUSG00000056632		A0A3Q4EGP6
ENSMUSG00000025075		E9Q0C5
ENSMUSG00000025075		E9Q092
ENSMUSG00000025075		F7B276
ENSMUSG00000025075		F7D2A6
ENSMUSG00000024592	Q9CWB7	
ENSMUSG00000044393	O55111	
ENSMUSG00000044393		Q811I1
ENSMUSG00000044393		Q8VCE3
ENSMUSG00000061808	P07309	Q5M9K1
ENSMUSG00000056124	Q9WVK5	Q3UUA9
ENSMUSG00000024943	Q8CG46	
ENSMUSG00000024943		A0A286YDG5
ENSMUSG00000024593	Q6DIB5	
ENSMUSG00000024593		A0A140T8S0
ENSMUSG00000033207		A0A0R4J0J7
ENSMUSG00000033207		A0A494B959
ENSMUSG00000033053	Q9CQC3	
ENSMUSG00000074925		A0A494B9V8
ENSMUSG00000074925		A0A494BBC8
ENSMUSG00000074925		E9QAB6
ENSMUSG00000074925		Q8C3P5
ENSMUSG00000033382		A0A286YCX6
ENSMUSG00000033382		E9PY51
ENSMUSG00000033382		A0A286YCE0
ENSMUSG00000024897	B2RUJ5	
ENSMUSG00000033107	Q9D9R0	
ENSMUSG00000071604	Q4FZH1	
ENSMUSG00000024317	Q9CQE0	
ENSMUSG00000024317		A0A3Q4EHU1
ENSMUSG00000024313		A0A3Q4EHC8
ENSMUSG00000024313	Q61847	
ENSMUSG00000042680	Q3UFT3	
ENSMUSG00000024812		A0A3B2WCN9
ENSMUSG00000024812	Q9Z0U1	
ENSMUSG00000024812		A0A3B2WBH9
ENSMUSG00000024812		A0A494B9E6
ENSMUSG00000024812		A0A494BAA0
ENSMUSG00000059363	O35943	Q3TV21
ENSMUSG00000059363		E9Q2P9
ENSMUSG00000024598	Q61555	
ENSMUSG00000024867	P70181	
ENSMUSG00000074922	Q9DB52	
ENSMUSG00000042514	Q69ZK5	
ENSMUSG00000048572	Q8C353	
ENSMUSG00000041731	Q8BZF8	
ENSMUSG00000024600	E9Q9W4	
ENSMUSG00000058927	P62897	Q56A15
ENSMUSG00000051490	Q60688	
ENSMUSG00000024601	Q91V64	
ENSMUSG00000024601		A0A494B952
ENSMUSG00000053441	P59509	
ENSMUSG00000056380	O88495	
ENSMUSG00000024306	Q8CDV0	
ENSMUSG00000024306		A0A3Q4EC56
ENSMUSG00000073257		Q4KL05
ENSMUSG00000050875		I1E4Y1
ENSMUSG00000073131	Q78T54	
ENSMUSG00000050875	Q8C4X7	
ENSMUSG00000073131		F2Z446
ENSMUSG00000073131		F2Z447
ENSMUSG00000020607		A0A0R4J012
ENSMUSG00000020607		A0A1Y7VLT9
ENSMUSG00000050875		H3BJK3
ENSMUSG00000058152	Q5DTK1	
ENSMUSG00000073255		Q62478
ENSMUSG00000020601	Q8K4K3	
ENSMUSG00000073555		Q3UED7
ENSMUSG00000020601		A0A1Y7VJR1
ENSMUSG00000020601		A0A1Y7VK24
ENSMUSG00000068606		E9QAA8
ENSMUSG00000071235		A0A1Y7VJJ3
ENSMUSG00000071235		A0A1Y7VK67
ENSMUSG00000071235	Q3SYK4	
ENSMUSG00000041380	P34968	
ENSMUSG00000071234	Q3USQ7	B2RRM8
ENSMUSG00000071234		A0A1Y7VL47
ENSMUSG00000041380		S4R2T0
ENSMUSG00000091039		E9Q0A8
ENSMUSG00000041923		F6XSA1
ENSMUSG00000041380		B1ATN4
ENSMUSG00000058368		B9EK12
ENSMUSG00000041923		F7BIN0
ENSMUSG00000062433		A0A087WP75
ENSMUSG00000065968		G3X9Z2
ENSMUSG00000065968		Q9D3R8
ENSMUSG00000059632	O08633	
ENSMUSG00000035142		F7D3P0
ENSMUSG00000056706	Q9D3I6	
ENSMUSG00000091212		E9Q2E9
ENSMUSG00000041923	P60954	
ENSMUSG00000056537	Q9WTV7	
ENSMUSG00000035142	Q9CWD8	
ENSMUSG00000041923		G3UW35
ENSMUSG00000041923		E9Q947
ENSMUSG00000044117	Q8R1Y2	
ENSMUSG00000041923		E9Q5X0
ENSMUSG00000044117		D3YWS4
ENSMUSG00000044117		D3Z3S8
ENSMUSG00000021242	Q9Z0J0	
ENSMUSG00000022820	Q9CQC7	
ENSMUSG00000073130		J9JI72
ENSMUSG00000021241	Q9DCB8	
ENSMUSG00000073130		B9EJU1
ENSMUSG00000021241		A0A1Y7VLA3
ENSMUSG00000021241		A0A1Y7VK19
ENSMUSG00000021241		A0A1Y7VM99
ENSMUSG00000049134		E9Q641
ENSMUSG00000024604	Q8BHS3	
ENSMUSG00000094759		Q62478
ENSMUSG00000033361		I7HPX7
ENSMUSG00000035133	P97393	
ENSMUSG00000035133		A0A1W2P6H9
ENSMUSG00000033361	Q6PAQ9	
ENSMUSG00000046449	Q5DTT1	Q003Y7
ENSMUSG00000060657	Q8BJ34	
ENSMUSG00000024302		A0A1Y7VK79
ENSMUSG00000049134	Q80XB4	
ENSMUSG00000060657		A0A2R8VH96
ENSMUSG00000046449	Q5DTT1	
ENSMUSG00000053593	Q8CEK7	
ENSMUSG00000049134		F7CXG1
ENSMUSG00000049134		E9PZF4
ENSMUSG00000022816	Q62356	
ENSMUSG00000061603		E9Q9K8
ENSMUSG00000061603		Q6PGB9
ENSMUSG00000108763		A0A0U1RPM1
ENSMUSG00000034158	Q3UGP9	
ENSMUSG00000021010		A0A1Y7VJG5
ENSMUSG00000031289	O88786	
ENSMUSG00000024878	Q8VEH6	
ENSMUSG00000021010		F8VQB2
ENSMUSG00000046961		A0A0R4J0P3
ENSMUSG00000021010		U5KBZ7
ENSMUSG00000021010		A0A1Y7VM06
ENSMUSG00000024878		A0A494B9Q0
ENSMUSG00000024878		A0A494BB09
ENSMUSG00000035105		A0A0R4J0H9
ENSMUSG00000005864	Q62398	A3KGE1
ENSMUSG00000033343		F2Z493
ENSMUSG00000025076	P97864	Q4FJQ4
ENSMUSG00000025076		A0A5F8MPP6
ENSMUSG00000022812	Q9WV60	Q5KU03
ENSMUSG00000022812		E9QAQ5
ENSMUSG00000022812		A0A338P6P8
ENSMUSG00000031333	Q61102	
ENSMUSG00000073016	B1AVZ0	
ENSMUSG00000024302		Q8CFR5
ENSMUSG00000031340		A2AMW3
ENSMUSG00000024302		A0A1Y7VJN9
ENSMUSG00000024302		A0A1Y7VL34
ENSMUSG00000024302	Q9D2N4	Q8BTD9
ENSMUSG00000043453		A2AMW4
ENSMUSG00000024302		A0A1Y7VLZ6
ENSMUSG00000052085	Q8C147	
ENSMUSG00000033906	Q8BGJ0	
ENSMUSG00000031224		Q52KG3
ENSMUSG00000022678	Q9CZA6	
ENSMUSG00000002020		E9QNQ3
ENSMUSG00000002020		E9Q1D6
ENSMUSG00000002020		F6UFW9
ENSMUSG00000022678		D6RJ36
ENSMUSG00000002020		F6XGT5
ENSMUSG00000032702	E9Q238	
ENSMUSG00000002020		F6WSP3
ENSMUSG00000032702		E9Q944
ENSMUSG00000022678		F6Q325
ENSMUSG00000002020		Q0VD84
ENSMUSG00000024277		D3YYK8
ENSMUSG00000024277		Q3TG90
ENSMUSG00000017843		A0A1Y7VJC8
ENSMUSG00000024277	Q8R001	
ENSMUSG00000024837	Q9QZ59	
ENSMUSG00000031343	P26049	
ENSMUSG00000024277		E9Q1B7
ENSMUSG00000031343		B1AVY2
ENSMUSG00000042372		A0A494BA10
ENSMUSG00000024277		E9Q6X0
ENSMUSG00000042372	Q80WT2	
ENSMUSG00000024276		A0A286YCD9
ENSMUSG00000048138	Q8BG36	
ENSMUSG00000024276		Q7TNK4
ENSMUSG00000063281	P15620	Q3V142
ENSMUSG00000017843		A0A1Y7VIR0
ENSMUSG00000051469	Q91VN1	
ENSMUSG00000051469		D3YVP1
ENSMUSG00000025078	Q8BZW8	B2RR26
ENSMUSG00000025078		A0A494BBH3
ENSMUSG00000035283	P34971	
ENSMUSG00000073247		Q62478
ENSMUSG00000047989	Q8BHA0	
ENSMUSG00000047989		D3Z6F3
ENSMUSG00000047989		F8WIA0
ENSMUSG00000047989		D3Z3N1
ENSMUSG00000068114	Q8C7V8	
ENSMUSG00000068114		A0A2R8VKP7
ENSMUSG00000068114		A0A2R8VI68
ENSMUSG00000068114		A0A2R8VJZ8
ENSMUSG00000035173	Q8C9S4	
ENSMUSG00000073245		Q62478
ENSMUSG00000035173		F7CUD4
ENSMUSG00000017843	Q60996	
ENSMUSG00000002489		G3UWG2
ENSMUSG00000002489		Q6P1D6
ENSMUSG00000002489		J3QMH1
ENSMUSG00000002489		E9Q1R7
ENSMUSG00000002489		J3QQ55
ENSMUSG00000000420	O08912	
ENSMUSG00000000420		E9Q0U0
ENSMUSG00000000420		E9PVK6
ENSMUSG00000000420		F6PYE1
ENSMUSG00000022155	Q7M6Y6	
ENSMUSG00000022982	P08228	
ENSMUSG00000024273		A0A3Q4EGR9
ENSMUSG00000024273	Q5XFZ0	
ENSMUSG00000079105		D3YXF5
ENSMUSG00000040446	Q8VDS4	
ENSMUSG00000024855	Q8K212	
ENSMUSG00000041849		E9PWH2
ENSMUSG00000041849		D3YYK3
ENSMUSG00000041841	Q9D823	
ENSMUSG00000024619	P18111	
ENSMUSG00000024855		A0A494BAE9
ENSMUSG00000042350		E9PZX5
ENSMUSG00000031290		F6VQ19
ENSMUSG00000024855		A0A494BB22
ENSMUSG00000031290		F7AAC3
ENSMUSG00000031290		A2AMP0
ENSMUSG00000031290	Q3UMG5	
ENSMUSG00000024269		E9PUD7
ENSMUSG00000050697		Q3TUQ7
ENSMUSG00000042350	Q8CHG5	
ENSMUSG00000024269		E9QLP0
ENSMUSG00000050697	Q5EG47	
ENSMUSG00000042350		E9Q7I2
ENSMUSG00000042350		E9PY98
ENSMUSG00000042350		E9PYE5
ENSMUSG00000022983	Q7TSH6	
ENSMUSG00000042350		E9Q2W2
ENSMUSG00000042350		E9PYA6
ENSMUSG00000031226	Q9D0B6	
ENSMUSG00000031227	Q6PCZ4	
ENSMUSG00000033871	Q8VHJ7	
ENSMUSG00000031230	Q9ESL8	A0A7U3JW97
ENSMUSG00000024853	Q3UJB0	
ENSMUSG00000053414	O88866	
ENSMUSG00000053414		Q3UGV4
ENSMUSG00000024853		A0AA74KQE8
ENSMUSG00000022463	Q3U1N2	
ENSMUSG00000047658	P61315	
ENSMUSG00000022978	Q9CZJ6	
ENSMUSG00000022463		A0A2R8VH82
ENSMUSG00000094885		Q62012
ENSMUSG00000022463		A0A2R8VHQ9
ENSMUSG00000018707	Q9JHU4	
ENSMUSG00000039956		A0A338P7B6
ENSMUSG00000039956		A0A338P7A4
ENSMUSG00000018707		F6ZX84
ENSMUSG00000039956	Q9D159	
ENSMUSG00000038498	Q91ZR5	
ENSMUSG00000038498		A0A494B9U9
ENSMUSG00000024846		Q9D1B1
ENSMUSG00000024846		A0A494BAF5
ENSMUSG00000056508		Q80ZT1
ENSMUSG00000056508		A0A1Y7VK50
ENSMUSG00000021243	Q9CTH6	
ENSMUSG00000021243		E9Q186
ENSMUSG00000039929		E9PU96
ENSMUSG00000024268	Q7TSY6	
ENSMUSG00000031229	Q61687	
ENSMUSG00000021270	P07901	Q80Y52
ENSMUSG00000022369	Q8BJS8	
ENSMUSG00000024268		A0A286YE56
ENSMUSG00000031229		A0A0G2JGR1
ENSMUSG00000031229		A0A0G2JF35
ENSMUSG00000022369		F6ZKA0
ENSMUSG00000021270		B7ZC50
ENSMUSG00000021270		B7ZC49
ENSMUSG00000021270		A2A6A2
ENSMUSG00000096883	J3QNX5	
ENSMUSG00000031229		A0A0G2JED2
ENSMUSG00000031229		A0A0G2JFG6
ENSMUSG00000096883		A0A2R8VI13
ENSMUSG00000031229		A0A0G2JFR8
ENSMUSG00000031229		F6RDB7
ENSMUSG00000060429	Q99L88	
ENSMUSG00000031229		A0A0G2JFA5
ENSMUSG00000031229		Q3UY26
ENSMUSG00000031229		Q8C2S3
ENSMUSG00000031229		A6PWK8
ENSMUSG00000031229		A6PWK7
ENSMUSG00000031229		A0A0G2JF42
ENSMUSG00000031229		A0A0G2JGH3
ENSMUSG00000031229		Q3TA30
ENSMUSG00000031229		A6PWK9
ENSMUSG00000031229		A6PWL2
ENSMUSG00000022151	Q9D6K7	
ENSMUSG00000022151		D3Z767
ENSMUSG00000022151		D3Z1T8
ENSMUSG00000052075		Q9CRB4
ENSMUSG00000022367	P70312	
ENSMUSG00000041353		A2ANF5
ENSMUSG00000039942		Q91VE4
ENSMUSG00000033063		E9PY62
ENSMUSG00000039942	P32240	
ENSMUSG00000041353		E9PZH0
ENSMUSG00000025081	Q99MV1	
ENSMUSG00000047094		C3S7Q5
ENSMUSG00000047094		A0A286YCJ1
ENSMUSG00000047094	Q8BGX4	
ENSMUSG00000022366	Q8R0S9	
ENSMUSG00000022366		D3YXY3
ENSMUSG00000024844	O54962	
ENSMUSG00000071757	Q8C0C0	
ENSMUSG00000024841	Q3THJ3	
ENSMUSG00000022365	Q99J56	
ENSMUSG00000041817	Q5XG69	
ENSMUSG00000033628	Q6PF93	
ENSMUSG00000018830		E9QPE7
ENSMUSG00000033628		D3YZ98
ENSMUSG00000018830		A0A338P6K2
ENSMUSG00000033628		E9QLS6
ENSMUSG00000057762	Q9R1Q7	Q0VEW4
ENSMUSG00000033628		E9Q824
ENSMUSG00000018830		A0A2R8VHF9
ENSMUSG00000031232	Q9CQY5	
ENSMUSG00000060739	Q9CR47	
ENSMUSG00000060739		A0A286YCS8
ENSMUSG00000031232		A2ADH1
ENSMUSG00000022677		D3Z644
ENSMUSG00000022364	Q6NXY1	
ENSMUSG00000057455	P70425	
ENSMUSG00000057455		F2Z432
ENSMUSG00000022677	Q9CZS3	
ENSMUSG00000057455		F8WGU6
ENSMUSG00000031231	P56393	Q5FW98
ENSMUSG00000024578		A0A494B960
ENSMUSG00000024578	Q9QXT6	
ENSMUSG00000025082	Q70UZ7	
ENSMUSG00000024579	Q8C7K6	
ENSMUSG00000024579		A0A0A6YY26
ENSMUSG00000024580	O88396	Q0VB85
ENSMUSG00000024580		A0A494BB40
ENSMUSG00000022364		E0CYF4
ENSMUSG00000021359		Q8BPN4
ENSMUSG00000022364		F6T4B0
ENSMUSG00000033032		D6RD10
ENSMUSG00000021359		A0A286YCU0
ENSMUSG00000037106		E0CZ42
ENSMUSG00000039903		A0A384DV69
ENSMUSG00000021359		A0A286YD43
ENSMUSG00000021359		A0A286YDR3
ENSMUSG00000039903		D6RCJ7
ENSMUSG00000039148	Q9Z315	
ENSMUSG00000039903	P58659	
ENSMUSG00000025269		A2AFM3
ENSMUSG00000025269	Q68G58	
ENSMUSG00000039903		A0A338P750
ENSMUSG00000021359		A0A0R4J1E6
ENSMUSG00000025269		A2AFM4
ENSMUSG00000039148		A0A494B9E9
ENSMUSG00000025269		A2AFM5
ENSMUSG00000039903		D3Z1H0
